stock,sentiment,timestamp
CIB,0.9274,2026-04-30T01:54:10.104383
FAISAL,0.5719,2026-04-30T01:54:10.686159
FAISAL,0.0516,2026-04-30T01:54:10.696772
FAISAL,0.4939,2026-04-30T01:54:10.704095
FAISAL,0.9274,2026-04-30T01:54:10.709312
FAISAL,-0.9231,2026-04-30T01:54:10.714319
FAISAL,0.6705,2026-04-30T01:54:10.719495
FAISAL,0.6486,2026-04-30T01:54:10.724545
FAISAL,0.6361,2026-04-30T01:54:10.729628
HDB,0.5719,2026-04-30T01:54:11.305799
HDB,0.0516,2026-04-30T01:54:11.311632
HDB,0.4939,2026-04-30T01:54:11.316805
HDB,0.9274,2026-04-30T01:54:11.321867
HDB,-0.9231,2026-04-30T01:54:11.326918
HDB,0.6705,2026-04-30T01:54:11.331957
HDB,0.6486,2026-04-30T01:54:11.336910
HDB,0.6361,2026-04-30T01:54:11.342012
ADIB,0.5719,2026-04-30T01:54:11.934543
ADIB,0.0516,2026-04-30T01:54:11.952582
ADIB,0.4939,2026-04-30T01:54:11.962260
ADIB,0.9274,2026-04-30T01:54:11.967490
ADIB,-0.9231,2026-04-30T01:54:11.972703
ADIB,0.6705,2026-04-30T01:54:11.977834
ADIB,0.6486,2026-04-30T01:54:11.982811
ADIB,0.6361,2026-04-30T01:54:11.987847
CIB,-0.296,2026-04-30T01:54:42.578344
CIB,0.0,2026-04-30T01:54:42.587060
CIB,0.0,2026-04-30T01:54:42.595030
CIB,-0.101,2026-04-30T01:54:42.599854
CIB,-0.872,2026-04-30T01:54:42.604506
CIB,-0.5664,2026-04-30T01:54:42.609146
CIB,0.5719,2026-04-30T01:54:42.613796
CIB,0.0516,2026-04-30T01:54:42.618535
CIB,0.4939,2026-04-30T01:54:42.623244
CIB,0.9274,2026-04-30T01:54:42.630245
FAISAL,0.5719,2026-04-30T01:54:43.201004
FAISAL,0.0516,2026-04-30T01:54:43.208323
FAISAL,0.4939,2026-04-30T01:54:43.213212
FAISAL,0.9274,2026-04-30T01:54:43.218055
FAISAL,-0.9231,2026-04-30T01:54:43.222707
FAISAL,0.6705,2026-04-30T01:54:43.227334
FAISAL,0.6486,2026-04-30T01:54:43.231920
FAISAL,0.6361,2026-04-30T01:54:43.236688
HDB,0.5719,2026-04-30T01:54:43.855430
HDB,0.0516,2026-04-30T01:54:43.862054
HDB,0.4939,2026-04-30T01:54:43.866893
HDB,0.9274,2026-04-30T01:54:43.871737
HDB,-0.9231,2026-04-30T01:54:43.876595
HDB,0.6705,2026-04-30T01:54:43.881410
HDB,0.6486,2026-04-30T01:54:43.886137
HDB,0.6361,2026-04-30T01:54:43.890819
ADIB,0.5719,2026-04-30T01:54:44.513971
ADIB,0.0516,2026-04-30T01:54:44.523970
ADIB,0.4939,2026-04-30T01:54:44.529569
ADIB,0.9274,2026-04-30T01:54:44.534512
ADIB,-0.9231,2026-04-30T01:54:44.539295
ADIB,0.6705,2026-04-30T01:54:44.543944
ADIB,0.6486,2026-04-30T01:54:44.548670
ADIB,0.6361,2026-04-30T01:54:44.553430
CIB,-0.296,2026-04-30T01:55:15.153773
CIB,0.0,2026-04-30T01:55:15.159843
CIB,0.0,2026-04-30T01:55:15.164480
CIB,-0.101,2026-04-30T01:55:15.169200
CIB,-0.872,2026-04-30T01:55:15.173959
CIB,-0.5664,2026-04-30T01:55:15.178716
CIB,0.5719,2026-04-30T01:55:15.183344
